Period,Start Date,End Date,District,Store No,Store Name,Sales Forecast,Hours Guide
P6W5,6/21/2026,6/27/2026,District 4,883,Hallandale Beach,41299,485
P6W5,6/21/2026,6/27/2026,District 4,1252,Fort Lauderdale Broward Blvd,48124,539
P6W5,6/21/2026,6/27/2026,District 4,1726,Fort Lauderdale E. Commercial,30255,394
P6W5,6/21/2026,6/27/2026,District 4,1841,Fort Lauderdale S Federal,35513,436
P6W5,6/21/2026,6/27/2026,District 4,1847,Pompano Beach,35649,436
P6W5,6/21/2026,6/27/2026,District 5,79,Plantation W Sunrise,50797,556
P6W5,6/21/2026,6/27/2026,District 5,183,Margate Atlantic,46713,528
P6W5,6/21/2026,6/27/2026,District 5,1096,Tamarac,46771,528
P6W5,6/21/2026,6/27/2026,District 5,1167,Pembroke Pines Pines Blvd,40636,482
P6W5,6/21/2026,6/27/2026,District 5,2048,Coral Springs,43368,501
P6W5,6/21/2026,6/27/2026,District 5,2290,Flamingo Pines,27714,370
P6W5,6/21/2026,6/27/2026,District 5,2976,Weston,25536,353
P6W5,6/21/2026,6/27/2026,District 6,2013,Palm Springs,26936,366
P6W5,6/21/2026,6/27/2026,District 6,2497,Royal Palm Beach,34252,420
P6W5,6/21/2026,6/27/2026,District 6,2696,Okeechobee Jog,24623,352
P6W5,6/21/2026,6/27/2026,District 6,2885,Lantana,22984,336
P6W5,6/21/2026,6/27/2026,District 6,2974,Delray,27356,370
P6W5,6/21/2026,6/27/2026,District 6,3200,Jupiter,18789,299
P6W5,6/21/2026,6/27/2026,District 6,3317,Boca Raton,21742,328
