Period,Store No,Store Name,Store Full,SOS,Pre-Bump %,Adoption %,Make Ahead %,Waste %,Checks Passed,Checks Total,Adherence %,SOS Pass,Adoption Pass,Make Ahead Pass,Waste Pass,Pre-Bump Pass
P3W2,2042,Miami-W Flagler St,2042-FL-Miami-W Flagler St,7.666666666666667,0.0,100.0,1.0856079404466499,4.53008789722786,5,5,100.0,True,True,True,True,True
P3W2,2048,Coral Springs-Wiles Rd,2048-FL-Coral Springs-Wiles Rd,10.75,0.395256916996047,95.8333333333333,0.586992251702277,,3,4,75.0,False,True,True,,True
P3W2,205,Lauderhill-Oakland Park,205-FL-Lauderhill-Oakland Park,6.983333333333333,0.571428571428571,100.0,6.58749719919337,,4,4,100.0,True,True,True,,True
P3W2,2118,Naranja-S. Dixie Hwy,2118-FL-Naranja-S. Dixie Hwy,9.15,0.0,100.0,0.0,18.5295087372239,4,5,80.0,True,True,True,False,True
P3W2,2290,Pembroke Pines-N. Flamingo Rd,2290-FL-Pembroke Pines-N. Flamingo Rd,13.283333333333333,2.2222222222222197,89.5833333333333,0.0,0.45016077170418006,3,5,60.0,False,True,True,True,False
P3W2,2497,Royal Palm Beach,2497-FL-Royal Palm Beach,10.15,0.8333333333333329,100.0,0.0,,3,4,75.0,False,True,True,,True
P3W2,2602,Doral-NW 58th St.,2602-FL-Doral-NW 58th St.,11.133333333333333,0.632911392405063,100.0,2.2471910112359503,1.9408502772643301,4,5,80.0,False,True,True,True,True
P3W2,2627,Hialeah-Hialeah Dr.,2627-FL-Hialeah-Hialeah Dr.,9.383333333333333,0.588235294117647,100.0,0.0,,4,4,100.0,True,True,True,,True
P3W2,2696,West Palm Beach-Okeechobee Blv,2696-FL-West Palm Beach-Okeechobee Blvd,9.416666666666666,0.0,100.0,4.37254044599913,,4,4,100.0,True,True,True,,True
P3W2,2766,Miami-Bird Rd.,2766-FL-Miami-Bird Rd.,9.216666666666667,0.671140939597315,100.0,1.26893164142448,1.37867647058824,5,5,100.0,True,True,True,True,True
P3W2,2885,Lantana-W. Lantana Rd,2885-FL-Lantana-W. Lantana Rd,7.066666666666666,1.6806722689075597,94.33962264150941,0.850822461712989,3.1840796019900504,4,5,80.0,True,True,True,True,False
P3W2,2890,Miami-NW 199th St.,2890-FL-Miami-NW 199th St.,12.666666666666666,0.9803921568627451,90.7692307692308,0.0,0.803750837240455,4,5,80.0,False,True,True,True,True
P3W2,2893,Miami-NE Miami Ct. - GK,2893-FL-Miami-NE Miami Ct. - GK,10.416666666666666,0.0,100.0,0.0,,3,4,75.0,False,True,True,,True
P3W2,2974,Delray Beach-Linton Blvd,2974-FL-Delray Beach-Linton Blvd,17.25,0.0,91.6666666666667,0.0,1.87110187110187,4,5,80.0,False,True,True,True,True
P3W2,2976,Weston-Indian Trace,2976-FL-Weston-Indian Trace,11.133333333333333,0.0,78.5714285714286,5.4125412541254105,,2,4,50.0,False,False,True,,True
P3W2,3013,Miami-Quail Roost Dr,3013-FL-Miami-Quail Roost Dr,11.933333333333334,0.0,94.2307692307692,11.5256741780569,5.14705882352941,2,5,40.0,False,True,False,False,True
